,index,lang,textfile,Freq,file,PCComplexity,compressed,folder,LengthScript,Idiosyncratic,Type,Family,Ancestor,Sum_count,Rel_freq,Sum_prob
25334,0071F,syc,ܟ,6076,1,39.458367860913896,1146,Syrc,29,0,abjad,Middle East,Armi,203455,0.02986409771202477,1.0
25335,00720,aii,ܠ,16925,1,27.8122528436798,947,Syrc,29,0,abjad,Middle East,Armi,205034,0.08254728484056303,1.0
25336,00720,syc,ܠ,15206,1,27.8122528436798,947,Syrc,29,0,abjad,Middle East,Armi,203455,0.07473888574869135,1.0
25337,00721,aii,ܡ,12023,1,43.877109815211604,1205,Syrc,29,0,abjad,Middle East,Armi,205034,0.058639054986002324,1.0
25338,00721,syc,ܡ,13394,1,43.877109815211604,1205,Syrc,29,0,abjad,Middle East,Armi,203455,0.06583273942640878,1.0
25339,00722,aii,ܢ,13084,1,24.5199361820221,907,Syrc,29,0,abjad,Middle East,Armi,205034,0.06381380649063083,1.0
25340,00722,syc,ܢ,19927,1,24.5199361820221,907,Syrc,29,0,abjad,Middle East,Armi,203455,0.09794303408616156,1.0
25341,00723,aii,ܣ,2462,1,49.39053059355621,1344,Syrc,29,0,abjad,Middle East,Armi,205034,0.012007764565876879,1.0
25342,00724,syc,ܤ,2332,1,49.39053059355621,1327,Syrc,29,0,abjad,Middle East,Armi,203455,0.011461994052738934,1.0
25343,00725,aii,ܥ,4942,1,30.298716427069696,950,Syrc,29,0,abjad,Middle East,Armi,205034,0.024103319449457164,1.0
25344,00725,syc,ܥ,5562,1,30.298716427069696,950,Syrc,29,0,abjad,Middle East,Armi,203455,0.02733774053230444,1.0
25345,00726,aii,ܦ,3563,1,44.152361742259,1176,Syrc,29,0,abjad,Middle East,Armi,205034,0.017377605665401835,1.0
25346,00726,syc,ܦ,2807,1,44.152361742259,1176,Syrc,29,0,abjad,Middle East,Armi,203455,0.013796662652675038,1.0
25347,00728,aii,ܨ,999,1,37.8554751293213,1106,Syrc,29,0,abjad,Middle East,Armi,205034,0.004872362632538993,1.0
