,index,lang,textfile,Freq,PCComplexity,compressed,folder,LengthScript,Idiosyncratic,Type,Family,Ancestor
24105,003C9,grc,ω,65739,51.8466384024966,1286,Grek,84,0,alphabet,Phoenician,Phnx
24106,003CA,ell,ϊ,145,19.8518287487695,1011,Grek,84,0,alphabet,Phoenician,Phnx
24107,003CA,grc,ϊ,18,19.8518287487695,1011,Grek,84,0,alphabet,Phoenician,Phnx
24108,003CB,ell,ϋ,32,37.0968297680108,1139,Grek,84,0,alphabet,Phoenician,Phnx
24109,003CB,grc,ϋ,19,37.0968297680108,1139,Grek,84,0,alphabet,Phoenician,Phnx
24110,003CC,ell,ό,32685,43.097577871252604,1230,Grek,84,0,alphabet,Phoenician,Phnx
24111,003CC,grc,ό,3951,43.097577871252604,1230,Grek,84,0,alphabet,Phoenician,Phnx
24112,003CD,ell,ύ,18898,41.2486970395383,1192,Grek,84,0,alphabet,Phoenician,Phnx
24113,003CD,grc,ύ,3598,41.2486970395383,1192,Grek,84,0,alphabet,Phoenician,Phnx
24114,003CE,ell,ώ,10371,57.7370595885065,1342,Grek,84,0,alphabet,Phoenician,Phnx
24115,003CE,grc,ώ,1266,57.7370595885065,1342,Grek,84,0,alphabet,Phoenician,Phnx
24996,00473,bxr,ѳ,3824,35.0185336306533,1157,Cyrs,34,0,alphabet,Phoenician,Glag
24997,00473,kaa,ѳ,2418,35.0185336306533,1157,Cyrs,34,0,alphabet,Phoenician,Glag
24998,00473,tat,ѳ,27,35.0185336306533,1157,Cyrs,34,0,alphabet,Phoenician,Glag
24999,00473,xal,ѳ,3854,35.0185336306533,1157,Cyrs,34,0,alphabet,Phoenician,Glag
25000,00561,hye,ա,100537,62.120609294885995,1091,Armn,76,0,alphabet,Phoenician,Grek
25001,00562,hye,բ,9318,50.1252505303411,992,Armn,76,0,alphabet,Phoenician,Grek
25002,00563,hye,գ,7136,57.5779978101495,1205,Armn,76,0,alphabet,Phoenician,Grek
25003,00564,hye,դ,11954,47.30422429840771,997,Armn,76,0,alphabet,Phoenician,Grek
25004,00565,hye,ե,59883,47.945066282860296,963,Armn,76,0,alphabet,Phoenician,Grek
25005,00566,hye,զ,5675,56.4499243448689,1147,Armn,76,0,alphabet,Phoenician,Grek
25006,00567,hye,է,15313,40.71976211591561,832,Armn,76,0,alphabet,Phoenician,Grek
25007,00568,hye,ը,16750,55.3601823056507,984,Armn,76,0,alphabet,Phoenician,Grek
25008,00569,hye,թ,6991,69.77353676200461,1213,Armn,76,0,alphabet,Phoenician,Grek
25009,0056A,hye,ժ,1486,56.1838510912321,1135,Armn,76,0,alphabet,Phoenician,Grek
25010,0056B,hye,ի,49304,52.4743813966654,960,Armn,76,0,alphabet,Phoenician,Grek
25011,0056C,hye,լ,11879,26.3248718455435,782,Armn,76,0,alphabet,Phoenician,Grek
25012,0056D,hye,խ,4068,74.0611108114257,1111,Armn,76,0,alphabet,Phoenician,Grek
25013,0056E,hye,ծ,6753,54.904621256386,1341,Armn,76,0,alphabet,Phoenician,Grek
25014,0056F,hye,կ,21065,52.4796468647754,964,Armn,76,0,alphabet,Phoenician,Grek
25015,00570,hye,հ,13001,45.733509494936,947,Armn,76,0,alphabet,Phoenician,Grek
25016,00571,hye,ձ,4244,52.81602802757789,1319,Armn,76,0,alphabet,Phoenician,Grek
25017,00572,hye,ղ,9200,47.1569949171826,977,Armn,76,0,alphabet,Phoenician,Grek
25018,00573,hye,ճ,1403,57.699789897329,1327,Armn,76,0,alphabet,Phoenician,Grek
25019,00574,hye,մ,24706,47.33328748677871,1004,Armn,76,0,alphabet,Phoenician,Grek
25020,00575,hye,յ,15870,25.717407146279395,857,Armn,76,0,alphabet,Phoenician,Grek
25021,00576,hye,ն,70522,47.5447147855843,947,Armn,76,0,alphabet,Phoenician,Grek
25022,00577,hye,շ,3670,39.37543477275629,1111,Armn,76,0,alphabet,Phoenician,Grek
25023,00578,hye,ո,57835,37.8220440419865,952,Armn,76,0,alphabet,Phoenician,Grek
25024,00579,hye,չ,6008,35.0439009658254,1078,Armn,76,0,alphabet,Phoenician,Grek
25025,0057A,hye,պ,9301,70.04981794804651,1124,Armn,76,0,alphabet,Phoenician,Grek
25026,0057B,hye,ջ,4475,60.1264694249621,1270,Armn,76,0,alphabet,Phoenician,Grek
25027,0057C,hye,ռ,5082,42.8448597476901,1068,Armn,76,0,alphabet,Phoenician,Grek
25028,0057D,hye,ս,26813,37.886208357697605,928,Armn,76,0,alphabet,Phoenician,Grek
25029,0057E,hye,վ,12908,55.1413466636193,992,Armn,76,0,alphabet,Phoenician,Grek
25030,0057F,hye,տ,23672,59.591585349935706,1070,Armn,76,0,alphabet,Phoenician,Grek
25031,00580,hye,ր,65955,44.49567257408071,944,Armn,76,0,alphabet,Phoenician,Grek
25032,00580,pes,ր,1,44.49567257408071,944,Armn,76,0,alphabet,Phoenician,Grek
25033,00581,hye,ց,18894,61.3611895850328,1297,Armn,76,0,alphabet,Phoenician,Grek
25034,00582,hye,ւ,36024,22.441626021489895,782,Armn,76,0,alphabet,Phoenician,Grek
25035,00583,hye,փ,2681,75.0722398176296,1149,Armn,76,0,alphabet,Phoenician,Grek
25036,00584,hye,ք,13911,63.914440298485005,1157,Armn,76,0,alphabet,Phoenician,Grek
25037,00585,hye,օ,3080,45.1343998125559,1236,Armn,76,0,alphabet,Phoenician,Grek
25038,00586,hye,ֆ,24,78.9767229956127,1330,Armn,76,0,alphabet,Phoenician,Grek
25039,005D0,hbo,א,112193,67.6998172112081,1351,Hebr,27,0,abjad,Middle East,Armi
25040,005D0,heb,א,34260,67.6998172112081,1351,Hebr,27,0,abjad,Middle East,Armi
25041,005D1,hbo,ב,66154,46.2669828924322,957,Hebr,27,0,abjad,Middle East,Armi
25042,005D1,heb,ב,18779,46.2669828924322,957,Hebr,27,0,abjad,Middle East,Armi
25043,005D2,hbo,ג,9047,35.323276513847105,1038,Hebr,27,0,abjad,Middle East,Armi
25044,005D2,heb,ג,3787,35.323276513847105,1038,Hebr,27,0,abjad,Middle East,Armi
25045,005D3,hbo,ד,29223,37.547631367599394,974,Hebr,27,0,abjad,Middle East,Armi
25046,005D3,heb,ד,10823,37.547631367599394,974,Hebr,27,0,abjad,Middle East,Armi
25047,005D4,hbo,ה,114087,48.3390570867524,1050,Hebr,27,0,abjad,Middle East,Armi
25048,005D4,heb,ה,34077,48.3390570867524,1050,Hebr,27,0,abjad,Middle East,Armi
25049,005D5,hbo,ו,126753,27.3752400869637,892,Hebr,27,0,abjad,Middle East,Armi
25050,005D5,heb,ו,46516,27.3752400869637,892,Hebr,27,0,abjad,Middle East,Armi
25051,005D6,hbo,ז,9686,27.2546108172632,987,Hebr,27,0,abjad,Middle East,Armi
25052,005D6,heb,ז,3345,27.2546108172632,987,Hebr,27,0,abjad,Middle East,Armi
25053,005D7,hbo,ח,30368,54.6182914469557,1077,Hebr,27,0,abjad,Middle East,Armi
25054,005D7,heb,ח,9084,54.6182914469557,1077,Hebr,27,0,abjad,Middle East,Armi
25055,005D8,hbo,ט,8186,59.1550443359474,1208,Hebr,27,0,abjad,Middle East,Armi
25056,005D8,heb,ט,2284,59.1550443359474,1208,Hebr,27,0,abjad,Middle East,Armi
25057,005D9,hbo,י,130334,17.102979166081198,962,Hebr,27,0,abjad,Middle East,Armi
25058,005D9,heb,י,42862,17.102979166081198,962,Hebr,27,0,abjad,Middle East,Armi
25059,005DA,hbo,ך,10426,45.809959499189794,975,Hebr,27,0,abjad,Middle East,Armi
25060,005DA,heb,ך,3409,45.809959499189794,975,Hebr,27,0,abjad,Middle East,Armi
25061,005DB,hbo,כ,35535,41.9170839362089,1029,Hebr,27,0,abjad,Middle East,Armi
25062,005DB,heb,כ,11954,41.9170839362089,1029,Hebr,27,0,abjad,Middle East,Armi
25063,005DC,hbo,ל,85538,43.7159336549113,1077,Hebr,27,0,abjad,Middle East,Armi
25064,005DC,heb,ל,30383,43.7159336549113,1077,Hebr,27,0,abjad,Middle East,Armi
25065,005DD,hbo,ם,42426,62.372424030269,1070,Hebr,27,0,abjad,Middle East,Armi
25066,005DD,heb,ם,18880,62.372424030269,1070,Hebr,27,0,abjad,Middle East,Armi
25067,005DE,hbo,מ,59177,56.6964553125408,1205,Hebr,27,0,abjad,Middle East,Armi
25068,005DE,heb,מ,19579,56.6964553125408,1205,Hebr,27,0,abjad,Middle East,Armi
25069,005DF,hbo,ן,17732,34.991141436286895,974,Hebr,27,0,abjad,Middle East,Armi
25070,005DF,heb,ן,4788,34.991141436286895,974,Hebr,27,0,abjad,Middle East,Armi
25071,005E0,hbo,נ,39944,30.1076111019405,939,Hebr,27,0,abjad,Middle East,Armi
25072,005E0,heb,נ,12378,30.1076111019405,939,Hebr,27,0,abjad,Middle East,Armi
25073,005E1,hbo,ס,8607,54.2835943989608,1212,Hebr,27,0,abjad,Middle East,Armi
25074,005E1,heb,ס,3729,54.2835943989608,1212,Hebr,27,0,abjad,Middle East,Armi
25075,005E2,hbo,ע,46413,59.1047461813874,1270,Hebr,27,0,abjad,Middle East,Armi
25076,005E2,heb,ע,13020,59.1047461813874,1270,Hebr,27,0,abjad,Middle East,Armi
25077,005E3,hbo,ף,3974,60.86876207877621,1226,Hebr,27,0,abjad,Middle East,Armi
25078,005E3,heb,ף,632,60.86876207877621,1226,Hebr,27,0,abjad,Middle East,Armi
25079,005E4,hbo,פ,16997,57.041928596594296,1265,Hebr,27,0,abjad,Middle East,Armi
25080,005E4,heb,פ,5013,57.041928596594296,1265,Hebr,27,0,abjad,Middle East,Armi
25081,005E5,hbo,ץ,4270,58.310613991184795,1167,Hebr,27,0,abjad,Middle East,Armi
25082,005E5,heb,ץ,430,58.310613991184795,1167,Hebr,27,0,abjad,Middle East,Armi
25083,005E6,hbo,צ,12005,52.9738836969656,1232,Hebr,27,0,abjad,Middle East,Armi
25084,005E6,heb,צ,3246,52.9738836969656,1232,Hebr,27,0,abjad,Middle East,Armi
25085,005E7,hbo,ק,20672,57.876069780207004,1070,Hebr,27,0,abjad,Middle East,Armi
25086,005E7,heb,ק,5741,57.876069780207004,1070,Hebr,27,0,abjad,Middle East,Armi
25087,005E8,hbo,ר,73285,35.0338260107553,904,Hebr,27,0,abjad,Middle East,Armi
25088,005E8,heb,ר,19572,35.0338260107553,904,Hebr,27,0,abjad,Middle East,Armi
25089,005E9,hbo,ש,63442,77.61438835141242,1353,Hebr,27,0,abjad,Middle East,Armi
25090,005E9,heb,ש,21786,77.61438835141242,1353,Hebr,27,0,abjad,Middle East,Armi
25091,005EA,hbo,ת,73849,50.5818040093185,1065,Hebr,27,0,abjad,Middle East,Armi
25092,005EA,heb,ת,20713,50.5818040093185,1065,Hebr,27,0,abjad,Middle East,Armi
25093,00621,arb,ء,1480,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat
25094,00621,arz,ء,765,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat
