;ISOKeyA;Languages;N_of_L;Added;Googled
41;Armn;['Armenian [hye]', 'Kurdish [kur]', 'Armenian, Western [hyw]'];3;1;1
46;Sinh;['Pali [pli]', 'Sanskrit [san]', 'Sinhala [sin]'];3;1;1
48;Guru;['Punjabi, Eastern [pan]', 'Saraiki [skr]', 'Sindhi [snd]'];3;1;1
70;Hang;['Cia-Cia [cia]', 'Jejueo [jje]'];2;1;1
100;Limb;['Limbu [lif]'];1;1;1
108;Vaii;['Vai [vai]'];1;1;1
113;Cher;['Cherokee [chr]'];1;1;1
11;Laoo;['Brao [brb]', 'Mambila, Cameroon [mcu]', 'Bru, Eastern [bru]', 'Hmong Daw [mww]', 'Hmong Njua [hnj]', 'Iu Mien [ium]', 'Jeh [jeh]', 'Khmu [kjg]', 'Kriang [ngt]', 'Kuay [kdt]', 'Lao [lao]', 'Ta’oih, Lower [tto]', 'Katang, Northern [ncq]', 'Pacoh [pac]', 'Phunoi [pho]', 'Rmeet [lbn]', 'So [sss]', 'Katang, Southern [sct]', 'Tai Dam [blt]', 'Ta’oih, Upper [tth]', 'Bru, Western [brv]', 'Katu, Western [kuf]'];22;1;1
8;Hani;['Bouyei [pcc]', 'Bai, Central [bca]', 'Zhuang, Central Hongshuihe [zch]', 'Zhuang, Dai [zhd]', 'Zhuang, Eastern Hongshuihe [zeh]', 'Zhuang, Guibei [zgb]', 'Zhuang, Guibian [zgn]', 'Honi [how]', 'Iu Mien [ium]', 'Zhuang, Lianshan [zln]', 'Zhuang, Liujiang [zlj]', 'Zhuang, Liuqian [zlq]', 'Zhuang, Minz [zgm]', 'Zhuang, Nong [zhn]', 'Puyuma [pyu]', 'Zhuang, Qiubei [zqe]', 'Bai, Southern [bfs]', 'Dong, Southern [kmc]', 'Sui [swi]', 'Vietnamese [vie]', 'Zhuang, Yang [zyg]', 'Zhuang, Yongnan [zyn]', 'Zhuang, Youjiang [zyj]', 'Zhuang [zha]', 'Zhuang, Zuojiang [zzj]'];25;0;1
2;Cyrl;['Abaza [abq]', 'Abkhaz [abk]', 'Adyghe [ady]', 'Aghul [agx]', 'Akhvakh [akv]', 'Saami, Akkala [sia]', 'Alutor [alr]', 'Andi [ani]', 'Archi [aqc]', 'Arin [xrn]', 'Armazic [xrm]', 'Assan [xss]', 'Assyrian Neo-Aramaic [aii]', 'Avar [ava]', 'Bagvalal [kva]', 'Romani, Balkan [rmn]', 'Romani, Baltic [rml]', 'Bashkort [bak]', 'Belarusian [bel]', 'Bezhta [kap]', 'Bosnian [bos]', 'Botlikh [bph]', 'Bukharic [bhh]', 'Bulgarian [bul]', 'Chamalal [cji]', 'Chechen [che]', 'Chukchi [ckt]', 'Chulym [clw]', 'Slavonic, Church [chu]', 'Chuvash [chv]', 'Crimean Tatar [crh]', 'Dargwa [dar]', 'Daur [dta]', 'Dido [ddo]', 'Dolgan [dlg]', 'Dungan [dng]', 'Erzya [myv]', 'Even [eve]', 'Evenki [evn]', 'Enets, Forest [enf]', 'Gagauz [gag]', 'Ghodoberi [gdo]', 'Gilyak [niv]', 'Greek [ell]', 'Mongolian, Halh [mon]', 'Mari, Hill [mrj]', 'Hinukh [gin]', 'Hunzib [huz]', 'Ingush [inh]', 'Itelmen [itl]', 'Judeo-Tat [jdt]', 'Kabardian [kbd]', 'Kalmyk-Oirat [xal]', 'Kamas [xas]', 'Karachay-Balkar [krc]', 'Karagas [kim]', 'Karaim [kdr]', 'Karakalpak [kaa]', 'Karata [kpt]', 'Karelian [krl]', 'Kazakh [kaz]', 'Kerek [krk]', 'Ket [ket]', 'Khakas [kjh]', 'Khanty [kca]', 'Khazar [zkz]', 'Khvarshi [khv]', 'Saami, Kildin [sjd]', 'Koibal [zkb]', 'Komi [kom]', 'Komi-Permyak [koi]', 'Koryak [kpy]', 'Kott [zko]', 'Krimchak [jct]', 'Kuman (Russia) [qwm]', 'Kumyk [kum]', 'Kurdish [kur]', 'Kyrgyz [kir]', 'Ladino [lad]', 'Lak [lbe]', 'Lezgi [lez]', 'Lingua Franca Nova [lfn]', 'Macedonian [mkd]', 'Mansi [mns]', 'Mator [mtm]', 'Mari, Meadow [chm]', 'Aleut, Mednyj [mud]', 'Moksha [mdf]', 'Buriat, Mongolia [bxm]', 'Montenegrin [cnr]', 'Tat, Muslim [ttt]', 'Nadruvian [ndf]', 'Nanai [gld]', 'Yupik, Naukan [ynk]', 'Negidal [neg]', 'Nenets [yrk]', 'Nganasan [nio]', 'Nogai [nog]', 'Azerbaijani, North [aze]', 'Altai, Northern [atv]', 'Northern Sami [sme]', 'Uzbek, Northern [uzb]', 'Yukaghir, Northern [ykg]', 'Old Russian [orv]', 'Omok [omk]', 'Oroch [oac]', 'Orok [oaa]', 'Ossetian [oss]', 'Yupik, Pacific Gulf [ems]', 'Pontic [pnt]', 'Pumpokol [xpm]', 'Romanian [ron]', 'Romany [rom]', 'Buriat, Russia [bua]', 'Russian [rus]', 'Rusyn [rue]', 'Rutul [rut]', 'Yupik, Saint Lawrence Island [ess]', 'Selkup [sel]', 'Serbian [srp]', 'Shor [cjs]', 'Shughni [sgh]', 'Siberian Tatar [sty]', 'Yupik, Sirenik [ysr]', 'Azerbaijani, South [azb]', 'Altai, Southern [alt]', 'Yukaghir, Southern [yux]', 'Svan [sva]', 'Tabasaran [tab]', 'Tajik [tgk]', 'Talysh [tly]', 'Tatar [tat]', 'Saami, Ter [sjt]', 'Tindi [tin]', 'Tlingit [tli]', 'Tsakhur [tkr]', 'Enets, Tundra [enh]', 'Turkish [tur]', 'Turkmen [tuk]', 'Tuvan [tyv]', 'Udi [udi]', 'Udihe [ude]', 'Udmurt [udm]', 'Ukrainian [ukr]', 'Ulch [ulc]', 'Urum [uum]', 'Uyghur [uig]', 'Vod [vot]', 'Wakhi [wbl]', 'Balochi, Western [bgn]', 'Written Oirat [xwo]', 'Xibe [sjo]', 'Yagnobi [yai]', 'Yakut [sah]', 'Yazgulyam [yah]', 'Yug [yug]'];156;0;1
17;Tfng;['Amazigh [kab]', 'Tamazight, Central Atlas [tzm]', 'Tamazight, Standard Moroccan [zgh]', 'Tachawit [shy]', 'Tachelhit [shi]', 'Tagdal [tda]', 'Tamahaq, Tahaggart [thv]', 'Tamasheq [taq]', 'Tarifit [rif]', 'Tamajaq, Tawallammat [ttq]', 'Tamajeq, Tayart [thz]', 'Tetserret [tez]', 'Tumzabt [mzb]', 'Zenaga [zen]'];14;0;1
20;Plrd;['Aluo [yna]', 'Gepo [ygp]', 'Hmong Daw [mww]', 'Hmong Njua [hnj]', 'Kaduo [ktp]', 'Miao, Large Flowery [hmd]', 'Lipo [lpo]', 'Sanie [ysy]', 'Sinicized Miao [hmz]', 'Miao, Small Flowery [sfm]', 'Yi, Wuding-Luquan [ywq]'];11;1;1
22;Yiii;['Nisu, Eastern [nos]', 'Mantsi [nty]', 'Nuosu [iii]', 'Samatao [ysd]', 'Samei [smh]', 'Sani [ysn]', 'Nisu, Southern [nsd]', 'Nisu, Southwestern [nsv]', 'Yi, Wuding-Luquan [ywq]', 'Nasu, Wusa [yig]'];10;0;0
23;Mong;['Daur [dta]', 'Evenki [evn]', 'Mongolian, Halh [mon]', 'Kalmyk-Oirat [xal]', 'Manchu [mnc]', 'Buriat, Mongolia [bxm]', 'Old Uighur [oui]', 'Mongolian, Peripheral [mvf]', 'Altai, Southern [alt]', 'Xibe [sjo]'];10;0;0
25;Takr;['Chambeali [cdh]', 'Dogri [doi]', 'Gaddi [gbk]', 'Gahri [bfu]', 'Jaunsari [jns]', 'Kinnauri [kfk]', 'Pahari, Kullu [kfx]', 'Mandeali [mjl]', 'Sirmauri [srx]'];9;0;0
27;Batk;['Batak Angkola [akb]', 'Batak Dairi [btd]', 'Batak Karo [btx]', 'Batak Mandailing [btm]', 'Batak Simalungun [bts]', 'Batak Toba [bbc]'];6;0;0
28;Newa;['Bengali [ben]', 'Hindi [hin]', 'Maithili [mai]', 'Nepali (macrolanguage) [nep]', 'Newar [new]', 'Sanskrit [san]'];6;0;0
29;Ital;['Etruscan [ett]', 'Oscan [osc]', 'Paelignian [pgn]', 'Umbrian [xum]', 'Venetic [xve]'];5;0;0
30;Khoj;['Punjabi, Eastern [pan]', 'Gujarati [guj]', 'Saraiki [skr]', 'Sindhi [snd]', 'Punjabi, Western [lah]'];5;0;0
32;Tavt;['Tai Daeng [tyr]', 'Tai Dam [blt]', 'Tai Dón [twh]', 'Tày Tac [tyt]', 'Thai Song [soa]'];5;0;0
33;Java;['Bali [ban]', 'Javanese [jav]', 'Osing [osi]', 'Sunda [sun]', 'Tengger [tes]'];5;0;0
34;Lisu;['Lakkia [lbc]', 'Lipo [lpo]', 'Lisu [lis]', 'Naxi [nxq]', 'Zaiwa [atb]'];5;0;1
35;Bugi;['Bugis [bug]', 'Makasar [mak]', 'Mamuju [mqx]', 'Mandar [mdr]', 'Wotu [wtw]'];5;0;0
36;Rjng;['Kerinci [kvr]', 'Lampung Api [ljp]', 'Lampung Nyo [abl]', 'Rejang [rej]'];4;0;0
37;Lana;['Khün [kkh]', 'Lü [khb]', 'Thai, Northern [nod]', 'Tai Ya [cuu]'];4;0;0
38;Phag;['Tibetan, Central [bod]', 'Chinese [zho]', 'Mongolian, Halh [mon]', 'Mongolian, Peripheral [mvf]'];4;0;0
39;Nkoo;['Bamanankan [bam]', 'Maninkakan, Eastern [man]', 'Jula [dyu]', 'N’ko [nqo]'];4;0;0
40;Hmng;['Hmong Daw [mww]', 'Hmong Njua [hnj]', 'Hmong [hmn]', 'Miao, Large Flowery [hmd]'];4;0;0
42;Tglg;['Filipino [fil]', 'Ilocano [ilo]', 'Tagalog [tgl]'];3;0;0
43;Tale;['Blang [blr]', 'Shan [shn]', 'Tai Nüa [tdd]'];3;0;0
44;Kthi;['Bhojpuri [bho]', 'Maithili [mai]', 'Panchpargania [tdb]'];3;0;0
45;Brah;['Ardhamāgadhī Prākrit [pka]', 'Magar, Eastern [mgp]', 'Sauraseni Prākrit [psu]'];3;0;0
47;Mahj;['Punjabi, Eastern [pan]', 'Hindi [hin]', 'Marwari [mwr]'];3;0;0
49;Bali;['Bali [ban]', 'Kawi [kaw]', 'Sasak [sas]'];3;0;0
50;Ogam;['Irish [gle]', 'Old Irish (to 900) [sga]', 'Primitive Irish [pgl]'];3;0;0
51;Cham;['Cham, Eastern [cjm]', 'Cham, Western [cja]'];2;0;0
52;Sund;['Old Sundanese [osn]', 'Sunda [sun]'];2;0;0
53;Kali;['Kayah, Eastern [eky]', 'Kayah, Western [kyu]'];2;0;0
54;Phnx;['Moabite [obm]', 'Phoenician [phn]'];2;0;1
55;Gran;['Old Tamil [oty]', 'Sanskrit [san]'];2;0;0
56;Mtei;['Meitei [mni]', 'Old Manipuri [omp]'];2;0;0
57;Samr;['Samaritan Aramaic [sam]', 'Samaritan Hebrew [smp]'];2;0;0
58;Mand;['Mandaic, Classical [myz]', 'Mandaic [mid]'];2;0;0
59;Cakm;['Chakma [ccp]', 'Tangchangya [tnv]'];2;0;0
60;Shrd;['Kashmiri [kas]', 'Sanskrit [san]'];2;0;0
61;Modi;['Marathi [mar]', 'Old Marathi [omr]'];2;0;0
62;Adlm;['Fulah [ful]', 'Pular [fuf]'];2;0;0
63;Perm;['Komi [kom]', 'Komi-Permyak [koi]'];2;0;0
64;Mani;['Manichaean Middle Persian [xmn]', 'Sogdian [sog]'];2;0;0
65;Armi;['Official Aramaic (700-300 BCE) [arc]', 'Western Neo-Aramaic [amw]'];2;0;1
66;Khar;['Gāndhārī [pgd]', 'Prakrit languages [pra]'];2;0;0
67;Glag;['Chakavian [ckm]', 'Slavonic, Church [chu]'];2;0;1
68;Tagb;['Tagbanwa, Calamian [tbk]', 'Tagbanwa [tbw]'];2;0;0
69;Cyrs;['Aleut [ale]', 'Slavonic, Church [chu]'];2;0;0
71;Runr;['Old Norse [non]', 'German, Standard [deu]'];2;0;0
72;Xpeo;['Old Persian (ca. 600-400 B.C.) [peo]'];1;0;1
73;Wara;['Ho [hoc]'];1;0;0
74;Hung;['Old Hungarian [ohu]'];1;0;0
75;Hluw;['Hieroglyphic Luwian [hlu]'];1;0;0
76;Ahom;['Ahom [aho]'];1;0;0
77;Sidd;['Sanskrit [san]'];1;0;0
78;Tirh;['Maithili [mai]'];1;0;0
79;Sind;['Sindhi [snd]'];1;0;0
80;Phlp;['Pahlavi [pal]'];1;0;1
81;Pauc;['Chin, Tedim [ctd]'];1;0;0
82;Palm;['Official Aramaic (700-300 BCE) [arc]'];1;0;1
83;Nbat;['Official Aramaic (700-300 BCE) [arc]'];1;0;1
84;Talu;['Lü [khb]'];1;0;0
85;Mroo;['Mru [mro]'];1;0;0
86;Marc;['Tibetan, Central [bod]'];1;0;0
87;Afak;['Aukan [djk]'];1;0;0
88;Osge;['Osage [osa]'];1;0;0
89;Tang;['Tangut [txg]'];1;0;0
90;Rohg;['Rohingya [rhg]'];1;0;1
91;Mend;['Mende [men]'];1;0;0
92;Narb;['Ancient North Arabian [xna]'];1;0;1
93;Lyci;['Lycian [xlc]'];1;0;0
94;Prti;['Parthian [xpr]'];1;0;0
95;Phli;['Pahlavi [pal]'];1;0;1
96;Orkh;['Old Turkish [otk]'];1;0;0
97;Buhd;['Buhid [bku]'];1;0;0
98;Hano;['Hanunoo [hnn]'];1;0;0
99;Cprt;['Greek, Ancient [grc]'];1;0;1
101;Lydi;['Lydian [xld]'];1;0;0
102;Lepc;['Lepcha [lep]'];1;0;0
103;Egyp;['Egyptian (Ancient) [egy]'];1;0;1
104;Olck;['Santhali [sat]'];1;0;0
105;Bamu;['Bamun [bax]'];1;0;0
106;Avst;['Avestan [ave]'];1;0;0
107;Osma;['Somali [som]'];1;0;0
109;Linb;['Greek, Ancient [grc]'];1;0;1
110;Sarb;['Sabaean [xsa]'];1;0;0
111;Goth;['Gothic [got]'];1;0;0
112;Dsrt;['English [eng]'];1;0;1
114;Sylo;['Sylheti [syl]'];1;0;0
115;Elba;['Albanian [sqi]'];1;0;0
116;Soyo;['Classical Mongolian [cmg]'];1;0;0
117;Bass;['Bassa [bsq]'];1;0;0
118;Aghb;['Lezgi [lez]'];1;0;0
119;Sora;['Sora [srb]'];1;0;0
120;Cari;['Carian [xcr]'];1;0;0
121;Ugar;['Ugaritic [uga]'];1;0;0
122;Merc;['Meroitic [xmr]'];1;0;0
123;Shaw;['English [eng]'];1;0;1
124;Thaa;['Maldivian [div]'];1;0;0
125;Saur;['Saurashtra [saz]'];1;0;0
126;Hmnp;[];0;0;0
127;Hrkt;[];0;0;1
128;Bhks;[];0;0;0
129;Mult;[];0;0;0
130;Mero;[];0;0;0
131;Zanb;[];0;0;0
132;Latn;[];0;0;0
