;ISOKeyA;Languages;N_of_L;Added;Googled
13;Hebr;['Hebrew, Ancient [hbo]', 'Bukharic [bhh]', 'Dzhidi [jpr]', 'Yiddish, Eastern [yid]', 'Hebrew [heb]', 'Hulaulá [huy]', 'Inter-Zab Jewish Neo-Aramaic [aij]', 'Judeo-Berber [jbe]', 'Arabic, Judeo-Iraqi [yhd]', 'Judeo-Italian [itk]', 'Arabic, Judeo-Moroccan [jrb]', 'Judeo-Tat [jdt]', 'Arabic, Judeo-Tripolitanian [yud]', 'Arabic, Judeo-Tunisian [ajt]', 'Arabic, Judeo-Yemeni [jye]', 'Ladino [lad]', 'Lishán Noshan [trg]', 'Lishana Deni [lsd]', 'Samaritan Aramaic [sam]', 'Samaritan Hebrew [smp]', 'Tajik [tgk]', 'Yiddish, Western [yih]'];22;1;1
14;Grek;['Albanian [sqi]', 'Greek, Ancient [grc]', 'Albanian, Arbëreshë [aae]', 'Aromanian [rup]', 'Albanian, Arvanitika [aat]', 'Balkan Gagauz Turkish [bgx]', 'Romani, Balkan [rmn]', 'Cappadocian Greek [cpg]', 'Coptic [cop]', 'Arabic, Cypriot Spoken [acy]', 'Gagauz [gag]', 'Greek [ell]', 'Phrygian [xpg]', 'Pontic [pnt]', 'Tsakonian [tsd]', 'Turkish [tur]', 'Urum [uum]', 'Yevanic [yej]'];18;1;1
15;Syrc;['Arabic [ara]', 'Assyrian Neo-Aramaic [aii]', 'Barzani-Sandu Jewish Neo-Aramaic [bjf]', 'Bohtan Neo-Aramaic [bhn]', 'Chaldean Neo-Aramaic [syr]', 'Hértevin [hrt]', 'Jewish Babylonian Aramaic [tmr]', 'Koy Sanjaq Surat [kqd]', 'Mlahsö [lhs]', 'Official Aramaic (700-300 BCE) [arc]', 'Old Aramaic (up to 700 BCE) [oar]', 'Samaritan Aramaic [sam]', 'Senaya [syn]', 'Sogdian [sog]', 'Syriac [syc]', 'Turoyo [tru]'];16;1;1
16;Gujr;['Garasia, Adiwasi [gas]', 'Avestan [ave]', 'Bhili [bhb]', 'Chodri [cdi]', 'Dangi [dhn]', 'Dubli [dub]', 'Dungra Bhil [duh]', 'Gamit [gbl]', 'Gujarati [guj]', 'Kacchi [kfr]', 'Koli, Kachi [gjk]', 'Kukna [kex]', 'Garasia, Rajput [gra]', 'Varli [vav]', 'Vasavi [vas]', 'Koli, Wadiyari [kxp]'];16;1;1
18;Knda;['Badaga [bfq]', 'Kurumba, Betta [xub]', 'Konkani, Goan [gom]', 'Kurumba, Kannada [kfi]', 'Kannada [kan]', 'Kodava [kfa]', 'Konkani [knn]', 'Kudiya [kfg]', 'Lambadi [lmn]', 'Paniya [pcg]', 'Ravula [yea]', 'Tulu [tcy]'];12;1;1
19;Taml;['Badaga [bfq]', 'Kurumba, Betta [xub]', 'Irula [iru]', 'Kurumba, Kannada [kfi]', 'Kota [kfe]', 'Muthuvan [muv]', 'Paniya [pcg]', 'Saurashtra [saz]', 'Tamil [tam]', 'Toda [tcx]', 'Vaagri Booli [vaa]', 'Chetti, Wayanad [ctt]'];12;1;1
21;Mlym;['Allar [all]', 'Kurumba, Attapady [pkr]', 'Kurumba, Betta [xub]', 'Irula [iru]', 'Kudiya [kfg]', 'Kurichiya [kfh]', 'Malayalam [mal]', 'Mannan [mjv]', 'Muduga [udg]', 'Paniya [pcg]', 'Ravula [yea]'];11;1;1
24;Khmr;['Brao [brb]', 'Mnong, Central [cmo]', 'Jarai [jra]', 'Kavet [krv]', 'Khmer [khm]', 'Krung [krr]', 'Kuay [kdt]', 'Khmer, Northern [kxm]', 'Tampuan [tpu]'];9;1;1
26;Geor;['Abkhaz [abk]', 'Georgian [kat]', 'Laz [lzz]', 'Mingrelian [xmf]', 'Old Avar [oav]', 'Ossetian [oss]', 'Svan [sva]'];7;1;1
31;Copt;['Andaandi [dgl]', 'Coptic [cop]', 'Mattokki [xnz]', 'Nobiin [fia]', 'Old Nubian [onw]'];5;1;1
